Organismo,Periodo,PlanDeCuenta,TotalPresupuesto,Aumento,Disminucion,TotalGastado,CantidadEmpleados,CantidadCargos
10,2018,46,925000.0,0.0,0.0,0.0,0.0,0.0
10,2018,47,3100000.0,0.0,0.0,760638.07,0.0,0.0
10,2018,48,900000.0,0.0,0.0,115362.8,0.0,0.0
10,2018,50,2300000.0,0.0,630000.0,0.0,0.0,0.0
10,2018,51,70000.0,10000.0,0.0,30895.48,0.0,0.0
10,2018,52,550000.0,0.0,0.0,238755.0,0.0,0.0
10,2018,53,60000.0,0.0,60000.0,0.0,0.0,0.0
10,2018,54,240000.0,0.0,0.0,0.0,0.0,0.0
10,2018,73,330000.0,0.0,200000.0,0.0,0.0,0.0
10,2019,4,0.0,0.0,0.0,8000.0,0.0,0.0
10,2019,34,8280000.0,0.0,0.0,8297329.65,10.0,10.0
10,2019,37,20000.0,0.0,0.0,0.0,0.0,0.0
10,2019,40,550000.0,0.0,0.0,450672.2,0.0,0.0
10,2019,41,1183260.0,0.0,0.0,1119486.12,0.0,0.0
10,2019,42,100000.0,75000.0,0.0,173778.95,0.0,0.0
10,2019,43,375500.0,80000.0,0.0,433141.03,0.0,0.0
10,2019,45,60000.0,0.0,0.0,16729.37,0.0,0.0
10,2019,46,375920.0,0.0,0.0,320100.0,0.0,0.0
10,2019,47,1500000.0,0.0,300000.0,130440.24,0.0,0.0
10,2019,48,633000.0,350000.0,0.0,824541.09,0.0,0.0
10,2019,50,2300000.0,0.0,205000.0,1319327.3699999999,0.0,0.0
10,2019,51,108000.0,0.0,0.0,73172.89,0.0,0.0
10,2019,52,700000.0,0.0,0.0,437180.0,0.0,0.0
10,2019,54,240000.0,0.0,0.0,199259.55,0.0,0.0
10,2019,73,330000.0,0.0,0.0,0.0,0.0,0.0
10,2020,4,0.0,0.0,0.0,28000.0,0.0,0.0
10,2020,34,12784510.0,0.0,140000.0,10110846.81,10.0,10.0
10,2020,37,20000.0,0.0,0.0,0.0,0.0,0.0
10,2020,40,780000.0,0.0,0.0,679740.0,0.0,0.0
10,2020,41,1542570.4,0.0,0.0,1296789.47,0.0,0.0
10,2020,42,150000.0,140000.0,0.0,274746.12,0.0,0.0
10,2020,43,574080.0,0.0,0.0,485617.39,0.0,0.0
10,2020,45,72000.0,0.0,0.0,6069.92,0.0,0.0
10,2020,46,349200.0,0.0,0.0,349200.0,0.0,0.0
10,2020,47,900000.0,0.0,0.0,5898.0,0.0,0.0
10,2020,48,1200000.0,0.0,0.0,968182.19,0.0,0.0
10,2020,50,1000000.0,0.0,0.0,506926.65,0.0,0.0
10,2020,51,120000.0,0.0,0.0,95397.66,0.0,0.0
10,2020,52,700000.0,0.0,0.0,731220.0,0.0,0.0
10,2020,54,240000.0,0.0,0.0,0.0,0.0,0.0
10,2020,73,330000.0,0.0,0.0,0.0,0.0,0.0
10,2021,4,0.0,0.0,0.0,36000.0,0.0,0.0
10,2021,34,15800000.0,0.0,0.0,15654652.58,10.0,10.0
10,2021,37,20000.0,0.0,0.0,0.0,0.0,0.0
10,2021,40,1065000.0,0.0,0.0,987000.0,0.0,0.0
10,2021,41,2038880.0,480000.0,0.0,2514505.03,0.0,0.0
10,2021,42,200000.0,375000.0,0.0,591141.03,0.0,0.0
10,2021,43,635040.0,370000.0,0.0,978334.0,0.0,0.0
10,2021,45,90000.0,0.0,0.0,60592.59,0.0,0.0
10,2021,46,30700.0,0.0,0.0,30700.0,0.0,0.0
10,2021,47,700000.0,14000000.0,0.0,13736936.69,0.0,0.0
10,2021,48,1700000.0,495000.0,0.0,2179503.87,0.0,0.0
10,2021,50,1500000.0,0.0,0.0,0.0,0.0,0.0
10,2021,51,144480.0,0.0,0.0,104815.66,0.0,0.0
10,2021,52,1100000.0,350000.0,0.0,1082500.0,0.0,0.0
10,2021,54,240000.0,0.0,0.0,0.0,0.0,0.0
10,2021,73,330000.0,0.0,0.0,0.0,0.0,0.0
10,2022,4,0.0,0.0,0.0,20000.0,0.0,0.0
10,2022,34,24600000.0,0.0,0.0,23704865.99,10.0,10.0
10,2022,37,20000.0,0.0,0.0,0.0,0.0,0.0
10,2022,40,1920000.0,0.0,0.0,1920000.0,0.0,0.0
10,2022,41,3642800.0,600000.0,0.0,4269770.9,0.0,0.0
10,2022,42,500000.0,0.0,0.0,129090.79,0.0,0.0
